Name,,Lab_L,Lab_a,Lab_b,ink1,ink2,ink3,ink4,%1,%2,%3,%4
PANTONE Hexachrome Green C,,57,-78.8125,36.0390625,PANTONE Yellow 034,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE Hexachrome Black C,,12,-0.1328125,-1.0234375,PANTONE Yellow 035,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 100 C,,92,-7.6757812,49.6679688,PANTONE Yellow 036,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 100 C,,92,-7.6757812,49.6679688,PANTONE Yellow 037,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 101 C,,92,-8.6757812,66.4804688,PANTONE Yellow 038,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 101 C,,92,-8.6757812,66.4804688,PANTONE Yellow 039,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 102 C,,90,-7.3085938,99.9375,PANTONE Yellow 040,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 102 C,,90,-7.3085938,99.9375,PANTONE Yellow 041,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 103 C,,71,-0.4101562,91.2382812,PANTONE Yellow 042,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 103 C,,71,-0.4101562,91.2382812,PANTONE Yellow 043,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 104 C,,62,-1.1015625,74.4492188,PANTONE Yellow 044,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 104 C,,62,-1.1015625,74.4492188,PANTONE Yellow 045,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 105 C,,48,-1.1796875,48.7382812,PANTONE Yellow 046,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 105 C,,48,-1.1796875,48.7382812,PANTONE Yellow 047,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 106 C,,90,-5.53125,64.6171875,PANTONE Yellow 048,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 106 C,,90,-5.53125,64.6171875,PANTONE Yellow 049,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 107 C,,89,-3.7929688,81.0390625,PANTONE Yellow 050,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 107 C,,89,-3.7929688,81.0390625,PANTONE Yellow 051,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 108 C,,88,0.2265625,95.375,PANTONE Yellow 052,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 108 C,,88,0.2265625,95.375,PANTONE Yellow 053,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 109 C,,86,4.9804688,100.4257812,PANTONE Yellow 054,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 109 C,,86,4.9804688,100.4257812,PANTONE Yellow 055,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 110 C,,73,7.1875,93.53125,PANTONE Yellow 056,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 110 C,,73,7.1875,93.53125,PANTONE Yellow 057,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 111 C,,60,3.5117188,74.671875,PANTONE Yellow 058,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 111 C,,60,3.5117188,74.671875,PANTONE Yellow 059,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 112 C,,54,1.6289062,61.6367188,PANTONE Yellow 060,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 112 C,,54,1.6289062,61.6367188,PANTONE Yellow 061,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 113 C,,89,-2.4765625,66.6171875,PANTONE Yellow 062,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 113 C,,89,-2.4765625,66.6171875,PANTONE Yellow 063,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 114 C,,89,-1.6054688,69.6796875,PANTONE Yellow 064,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 114 C,,89,-1.6054688,69.6796875,PANTONE Yellow 065,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 115 C,,88,-0.6210938,72.1367188,PANTONE Yellow 066,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 115 C,,88,-0.6210938,72.1367188,PANTONE Yellow 067,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 116 C,,85,7.4179688,93.0195312,PANTONE Yellow 068,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 116 C,,85,7.4179688,93.0195312,PANTONE Yellow 069,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 117 C,,67,9.4960938,83.1992188,PANTONE Yellow 070,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 117 C,,67,9.4960938,83.1992188,PANTONE Yellow 071,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 118 C,,59,7.6484375,73.265625,PANTONE Yellow 072,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 118 C,,59,7.6484375,73.265625,PANTONE Yellow 073,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 119 C,,50,1.3671875,49.2460938,PANTONE Yellow 074,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 119 C,,50,1.3671875,49.2460938,PANTONE Yellow 075,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 120 C,,89,0.3671875,53.0390625,PANTONE Yellow 076,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 120 C,,89,0.3671875,53.0390625,PANTONE Yellow 077,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 121 C,,88,1.6445312,56.6367188,PANTONE Yellow 078,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 121 C,,88,1.6445312,56.6367188,PANTONE Yellow 079,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 122 C,,86,5.4101562,68.1679688,PANTONE Yellow 080,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 122 C,,86,5.4101562,68.1679688,PANTONE Yellow 081,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 123 C,,83,11.6679688,79.359375,PANTONE Yellow 082,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 123 C,,83,11.6679688,79.359375,PANTONE Yellow 083,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 124 C,,74,15.7265625,84.7109375,PANTONE Yellow 084,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 124 C,,74,15.7265625,84.7109375,PANTONE Yellow 085,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 125 C,,60,12.1289062,71.5195312,PANTONE Yellow 086,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 125 C,,60,12.1289062,71.5195312,PANTONE Yellow 087,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 126 C,,54,7.7773438,59.9101562,PANTONE Yellow 088,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 126 C,,54,7.7773438,59.9101562,PANTONE Yellow 089,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1205 C,,90,0.140625,31.390625,PANTONE Yellow 090,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1205 C,,90,0.140625,31.390625,PANTONE Yellow 091,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1215 C,,88,1.4804688,39.9296875,PANTONE Yellow 092,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1215 C,,88,1.4804688,39.9296875,PANTONE Yellow 093,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1225 C,,83,11.40625,68.6171875,PANTONE Yellow 094,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1225 C,,83,11.40625,68.6171875,PANTONE Yellow 095,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1235 C,,79,21.5390625,85.1484375,PANTONE Yellow 096,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1235 C,,79,21.5390625,85.1484375,PANTONE Yellow 097,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1245 C,,64,13.0664062,69.0976562,PANTONE Yellow 098,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1245 C,,64,13.0664062,69.0976562,PANTONE Yellow 099,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1255 C,,56,9.7148438,59.40625,PANTONE Yellow 100,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1255 C,,56,9.7148438,59.40625,PANTONE Yellow 101,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1265 C,,44,7.1875,46.4179688,PANTONE Yellow 102,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1265 C,,44,7.1875,46.4179688,PANTONE Yellow 103,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 127 C,,88,-2.9101562,46.4101562,PANTONE Yellow 104,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 127 C,,88,-2.9101562,46.4101562,PANTONE Yellow 105,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 128 C,,86,-0.4492187,60.515625,PANTONE Yellow 106,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 128 C,,86,-0.4492187,60.515625,PANTONE Yellow 107,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 129 C,,83,3.2890625,69.0976562,PANTONE Yellow 108,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 129 C,,83,3.2890625,69.0976562,PANTONE Yellow 109,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 130 C,,75,18.0859375,85.6601562,PANTONE Yellow 110,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 130 C,,75,18.0859375,85.6601562,PANTONE Yellow 111,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 131 C,,65,18.6484375,79.7265625,PANTONE Yellow 112,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 131 C,,65,18.6484375,79.7265625,PANTONE Yellow 113,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 132 C,,54,11.1484375,63.9414062,PANTONE Yellow 114,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 132 C,,54,11.1484375,63.9414062,PANTONE Yellow 115,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 133 C,,39,4.765625,40.71875,PANTONE Yellow 116,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 133 C,,39,4.765625,40.71875,PANTONE Yellow 117,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 134 C,,87,5.0195312,45.03125,PANTONE Yellow 118,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 134 C,,87,5.0195312,45.03125,PANTONE Yellow 119,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 135 C,,83,12.3203125,60.5390625,PANTONE Yellow 120,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 135 C,,83,12.3203125,60.5390625,PANTONE Yellow 121,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 136 C,,81,18.0976562,70.5976562,PANTONE Yellow 122,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 136 C,,81,18.0976562,70.5976562,PANTONE Yellow 123,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 137 C,,75,31.7695312,87.4296875,PANTONE Yellow 124,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 137 C,,75,31.7695312,87.4296875,PANTONE Yellow 125,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 138 C,,63,35.0078125,83.4648438,PANTONE Yellow 126,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 138 C,,63,35.0078125,83.4648438,PANTONE Yellow 127,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 139 C,,53,23.2148438,67.5625,PANTONE Yellow 128,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 139 C,,53,23.2148438,67.5625,PANTONE Yellow 129,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 140 C,,39,10.9101562,43.1015625,PANTONE Yellow 130,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 140 C,,39,10.9101562,43.1015625,PANTONE Yellow 131,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1345 C,,85,9.6367188,39.4179688,PANTONE Yellow 132,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1345 C,,85,9.6367188,39.4179688,PANTONE Yellow 133,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1355 C,,84,12.7695312,45.3867188,PANTONE Yellow 134,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1355 C,,84,12.7695312,45.3867188,PANTONE Yellow 135,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1365 C,,80,21.2265625,60.2578125,PANTONE Yellow 136,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1365 C,,80,21.2265625,60.2578125,PANTONE Yellow 137,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1375 C,,73,35.4882812,81.3671875,PANTONE Yellow 138,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1375 C,,73,35.4882812,81.3671875,PANTONE Yellow 139,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1385 C,,59,33.9648438,74.2460938,PANTONE Yellow 140,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1385 C,,59,33.9648438,74.2460938,PANTONE Yellow 141,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1395 C,,47,21.0507812,53.3242188,PANTONE Yellow 142,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1395 C,,47,21.0507812,53.3242188,PANTONE Yellow 143,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1405 C,,33,13.1171875,35.6757812,PANTONE Yellow 144,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 1405 C,,33,13.1171875,35.6757812,PANTONE Yellow 145,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 141 C,,82,6.21875,52.9257812,PANTONE Yellow 146,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 141 C,,82,6.21875,52.9257812,PANTONE Yellow 147,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 142 C,,79,11.9375,63.6484375,PANTONE Yellow 148,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 142 C,,79,11.9375,63.6484375,PANTONE Yellow 149,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 143 C,,74,19.21875,71.796875,PANTONE Yellow 150,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 143 C,,74,19.21875,71.796875,PANTONE Yellow 151,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 144 C,,65,37.6757812,78.6601562,PANTONE Yellow 152,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 144 C,,65,37.6757812,78.6601562,PANTONE Yellow 153,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 145 C,,58,30.6796875,70.8984375,PANTONE Yellow 154,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 145 C,,58,30.6796875,70.8984375,PANTONE Yellow 155,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 146 C,,47,22.2382812,56.3632812,PANTONE Yellow 156,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 146 C,,47,22.2382812,56.3632812,PANTONE Yellow 157,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 147 C,,39,5.78125,34.765625,PANTONE Yellow 158,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 147 C,,39,5.78125,34.765625,PANTONE Yellow 159,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 148 C,,86,10.6484375,31.4765625,PANTONE Yellow 160,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 148 C,,86,10.6484375,31.4765625,PANTONE Yellow 161,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 149 C,,83,15.1796875,38.7695312,PANTONE Yellow 162,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 149 C,,83,15.1796875,38.7695312,PANTONE Yellow 163,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 150 C,,77,28.5195312,58.9804688,PANTONE Yellow 164,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 150 C,,77,28.5195312,58.9804688,PANTONE Yellow 165,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 151 C,,66,53.3007812,86.4179688,PANTONE Yellow 166,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 151 C,,66,53.3007812,86.4179688,PANTONE Yellow 167,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 152 C,,60,44.1601562,76.734375,PANTONE Yellow 168,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
PANTONE 152 C,,60,44.1601562,76.734375,PANTONE Yellow 169,PANTONE Rub. Red,PANTONE Black,PANTONE Trans. Wt.,15.15,11.06,2.23,71.56
